"업체명","기관케이스수","기관목록","상태목록","추정원인"
"보그헤어","8","소상공인시장진흥공단 / 신용보증재단","자금집행완료 / 기관신청대기/방문예정 / 상담/진단완료","기업목록에 없음/표기불일치"
"프로페나인어클락","7","중소벤처기업진흥공단 / 기술보증기금 / 신용보증기금 / 신용보증재단","승인 / 기관 방문 전 / 기관신청대기/방문예정 / 보류","기업목록에 없음/표기불일치"
"(주)에이치제이에프1","6","중소벤처기업진흥공단 / 소상공인시장진흥공단","부결 / 시작 전","법인 표기 차이((주)/주)…)"
"(주)한기협_ 최관호 신청","6","신용보증기금 / 신용보증재단","기관신청완료/방문완료","밑줄(_) 메모"
"딜리온픽","6","신용보증재단 / 신용보증기금","상담/진단완료 / 기관신청대기/방문예정","기업목록에 없음/표기불일치"
"(주)그린준_법인","4","소상공인시장진흥공단","상담/진단완료 / 시작 전","법인/개인 접미사"
"(주)에스엔정보시스템_인증 부분만 유선","4","중소벤처기업진흥공단","부결 / 시작 전","밑줄(_) 메모"
"(주)칸린_법인","4","소상공인시장진흥공단","자금집행완료 / 시작 전 / 상담/진단완료","법인/개인 접미사"
"(주)허브바이오","4","중소벤처기업진흥공단","보류","법인 표기 차이((주)/주)…)"
"막퍼줘 회찜","4","소상공인시장진흥공단","시작 전 / 부결","기업목록에 없음/표기불일치"
"성원상사","4","신용보증재단 / 소상공인시장진흥공단","기관신청대기/방문예정 / 상담/진단완료","기업목록에 없음/표기불일치"
"솜씨협동조합","4","구조혁신&사업전환 / 소상공인시장진흥공단 / 신용보증재단","시작 전 / 부결 / 온라인 신청 후 대기","법인 표기 차이((주)/주)…)"
"웰딧","4","기술보증기금 / 신용보증기금","보류 / 상담/진단완료","기업목록에 없음/표기불일치"
"(주)nan","3","중소벤처기업진흥공단 / 기술보증기금 / 신용보증기금","시작 전","법인 표기 차이((주)/주)…)"
"(주)경문도어시스템(말일)","3","신용보증기금","자금집행완료","법인 표기 차이((주)/주)…)"
"(주)마블링축산_법인","3","소상공인시장진흥공단","자금집행완료","법인/개인 접미사"
"(주)엘케스트","3","신용보증기금","자금집행완료","법인 표기 차이((주)/주)…)"
"경희s한의원","3","신용보증재단","상담/진단완료","기업목록에 없음/표기불일치"
"글라스히어로즈(주)","3","구조혁신&사업전환","사업전환 승인 / 시작 전","법인 표기 차이((주)/주)…)"
"다경바이오_법인","3","소상공인시장진흥공단","상담/진단완료","법인/개인 접미사"
"막퍼줘 회찜 ( 준푸드 대표님 개인 사업자 )","3","소상공인시장진흥공단","자금집행완료 / 상담/진단완료","이름에 메모 섞임"
"보성무역","3","중소벤처기업진흥공단 / 신용보증기금","부결 / 온라인 신청 후 대기","기업목록에 없음/표기불일치"
"비티버거앤타코(희성디자인)법인 전환으로 다음에","3","소상공인시장진흥공단","시작 전 / 상담/진단완료","이름에 메모 섞임"
"솜씨협동조합_법인","3","소상공인시장진흥공단","자금집행완료","법인/개인 접미사"
"신산축산","3","신용보증재단 / 소상공인시장진흥공단","부결 / 상담/진단완료","기업목록에 없음/표기불일치"
"씨에이치-디","3","소상공인시장진흥공단","보류 / 시작 전","구분자(- /) 뒤 메모"
"엘싸인","3","신용보증재단","상담/진단완료","기업목록에 없음/표기불일치"
"엠앤디코리아(잠수)","3","소상공인시장진흥공단","시작 전 / 상담/진단완료","이름에 메모 섞임"
"이산더큐브주식회사","3","소상공인시장진흥공단","자금집행완료 / 상담/진단완료","법인 표기 차이((주)/주)…)"
"이안서가중고등 ( 법인 사업자 )","3","중소벤처기업진흥공단","부결","기업목록에 없음/표기불일치"
