구분,원래이름(agency_cases.business_name),매칭될업체명(companies.name),케이스건수
A,거산피앤피(주),(주)거산피앤피,1
A,공감중문,공감중문  ,1
A,글라스히어로즈(주),(주)글라스히어로즈,3
A,대령숙수(잠수),대령숙수_잠수,1
A,블루마린(주),(주)블루마린,2
A,세인트복싱 수지점,세인트복싱_수지점,1
A,솜씨협동조합,(주)솜씨협동조합,3
A,신강 ,신강,1
A,썸업팜,(주)썸업팜,1
A,엠앤디코리아(잠수),엠앤디코리아_잠수,2
A,옥이네 술상,옥이네술상,1
A,웰딧,(주)웰딧,2
A,위드컴퍼니(주),(주)위드컴퍼니,1
A,이산더큐브주식회사,(주)이산더큐브,3
A,주)큰수레협동조합,큰수레협동조합,2
A,주식회사 신원,(주)신원,2
A,타이어프로 -,타이어프로,3
A,토탈아트코리아,토탈아트 코리아,2
A,플로리스트파크 학원,플로리스트 파크학원,1
A,피코스산업(주),(주)피코스산업,2
A,한국가스켓,(주)한국가스켓,1
A,허브바이오앤테크,(주)허브바이오앤테크,2
A,허브바이오앤테크(주),(주)허브바이오앤테크,3
A,호산이엔티,(주)호산이엔티,1
A,jb특수시스템,(유)JB특수시스템,2
