구분,원래이름(agency_cases.business_name),매칭될업체명(companies.name),케이스건수
B,(주)그린준_법인,(주)그린준,4
B,(주)글라스히어로즈_유선,(주)글라스히어로즈,1
B,(주)더푸른식품_(보내준다고하심),(주)더푸른식품,1
B,(주)마블링축산_법인,(주)마블링축산,3
B,(주)에스엔정보시스템_인증 부분만 유선,(주)에스엔정보시스템,2
B,(주)웰딧_인증서 없음,(주)웰딧,2
B,(주)유건 / 교육 이수 후 접수 완료,(주)유건,1
B,(주)유건_법인,(주)유건,2
B,(주)입체로_2억 5천,(주)입체로,1
B,(주)칸린_법인,(주)칸린,4
B,(주)텍코_유선_2억 5천,(주)텍코,1
B,거산피앤피(주)_요건 넘어서 안됨,(주)거산피앤피,1
B,공감중문  ( 수출 실적 1년 초과 ),공감중문  ,1
B,공감중문 ( 연체내역 많음 ),공감중문  ,1
B,구도로통닭(소진공 단기연체존재 ),구도로통닭,1
B,구도로통닭(혁신성장 스마트기기),구도로통닭,1
B,글라스히어로즈(인천점),(주)글라스히어로즈,1
B,동선목장_잠수,동선목장,1
B,등짝_김양호,등짝,1
B,딜리온픽배달대행(혁신성장 스마트기술),딜리온픽배달대행,1
B,리리즈(소진공 연체없음 ),리리즈,1
B,리리즈(재도전 특별자금),리리즈,1
B,명성태권도(2/27지방세/국세체납없음)/ 재도전 업력초과,명성태권도,1
B,명성태권도(혁신성장 스마트기기),명성태권도,1
B,물고기블루스(체납),물고기블루스,1
B,미진축산(소진공 연체없음 ),미진축산,1
B,미진축산(혁신성장 스마트기기),미진축산,2
B,비티버거앤타코(희성디자인),비티버거앤타코,1
B,비티버거앤타코(희성디자인)법인 전환으로 다음에,비티버거앤타코,1
B,세인트복싱_얼굴인식시스템,세인트복싱,2
B,"세인트복싱(혁신성장, 스마트기기)(체납)",세인트복싱,1
B,솜씨협동조합_공고링크 받아야함,(주)솜씨협동조합,1
B,솜씨협동조합_법인,(주)솜씨협동조합,3
B,수목원파크 ( 지들이 하겠다고 통보 ),수목원파크,1
B,스마일 베이글 ( 신규 이력없음 ),스마일 베이글,1
B,스마일 베이글(혁신성장 스마트기기),스마일 베이글,1
B,신강( 전체자료 미회신 ),신강,1
B,신강(잠수),신강,1
B,어나더유스( 소진공 연체없음 ),어나더유스,1
B,어나더유스(2/27지방세/국세 체납없음 ),어나더유스,1
B,어나더유스(혁신성장 수출실적),어나더유스,1
B,"에스에프헤어 _스마트모델 기술보급 ( 스마트미러, 키오스크 )",에스에프헤어,1
B,에스에프헤어 (재도전 임대사업자 및 업력때문에 안됌),에스에프헤어,1
B,에스에프헤어(혁신성장 스마트기기),에스에프헤어,1
B,"엘포테크/ 재도전 도약, 혁신 졸업후보 안됌",엘포테크,1
B,영진물류(대환대출 진행),영진물류,2
B,오이구컴퍼니 ( 신규 이력없음 ),오이구컴퍼니,1
B,오이구컴퍼니 ( 정책자금보다 정부지원금 요구ㅠ ),오이구컴퍼니,1
B,"오이구컴퍼니(3/5국세체납없음,과태료3건 체납, 1건 미납)",오이구컴퍼니,1
B,오케이포케 ( 신규 이력없음 ),오케이포케,1
B,오케이포케(혁신성장 스마트기기)(체납),오케이포케,1
B,유일목형 ( 수출로 이후 안되면 저신용 ),유일목형,2
B,의왕베이스볼아카데미(체납),의왕베이스볼아카데미,1
B,이엔에프에너지(재도전특별자금),이엔에프에너지,1
B,제로디톡스(소진공 저신용),제로디톡스,1
B,제로디톡스(재도전 70백만원이 있어 3월 신청 예정),제로디톡스,2
B,찡어맨 ( 재도전 상환연장은 다음달에 진횅 ),찡어맨,1
B,찡어맨(지방세 체납 ),찡어맨,1
B,천하종합상사 / 교육 이수 후 접수 완료,천하종합상사,1
B,천하종합상사(체납),천하종합상사,1
B,"청풍발리호텔(키오스크 계약서 요청, 설치후 철수 인정서밖에 없음)",청풍발리호텔,1
B,풍짬 (2월 스마트 기기),풍짬,1
B,피치플레이(소진공 신청이력없음 ),피치플레이,1
B,피치플레이(혁신성장 스마트기술),피치플레이,1
B,헤움 ( 5년에 3번이상 수혜(저신용포함),헤움,2
B,jb특수시스템(소진공 저신용),(유)JB특수시스템,1
