"원래이름(기관케이스)","→ 붙일_업체명(companies)","company_id","케이스수","적용규칙","기관목록","상태목록"
"(주)그린준_법인","(주)그린준","96e70041-f77a-4be5-a0c0-51599d4470d5","4","법인표기+괄호메모+밑줄뒤","소상공인시장진흥공단","상담/진단완료 / 시작 전"
"(주)에스엔정보시스템_인증 부분만 유선","(주)에스엔정보시스템","0a6c9f70-0db2-43ae-9d9d-5957a6d277ad","4","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","부결 / 시작 전"
"(주)칸린_법인","(주)칸린","46cf13e0-3d9d-4eda-8201-8e974aa26640","4","법인표기+괄호메모+밑줄뒤","소상공인시장진흥공단","자금집행완료 / 시작 전 / 상담/진단완료"
"막퍼줘 회찜","막퍼줘 회찜  / *별세","830ee7ff-76d5-4709-a559-be565eb3e41e","4","공백/기호","소상공인시장진흥공단","시작 전 / 부결"
"솜씨협동조합","(주)솜씨협동조합","6f528302-cc5e-46fb-913e-c848791af0c5","4","법인표기","구조혁신&사업전환 / 소상공인시장진흥공단 / 신용보증재단","시작 전 / 부결 / 온라인 신청 후 대기"
"웰딧","(주)웰딧","8e775590-37cc-4d3d-b843-8c3c23a2a454","4","공백/기호","기술보증기금 / 신용보증기금","보류 / 상담/진단완료"
"(주)경문도어시스템(말일)","(주)경문도어시스템","ab00f3bd-2bec-4130-a730-0c85ad101f16","3","법인표기+괄호메모","신용보증기금","자금집행완료"
"(주)마블링축산_법인","(주)마블링축산","4a8f1a7a-f384-4209-ae80-9d50b647e3e7","3","법인표기+괄호메모+밑줄뒤","소상공인시장진흥공단","자금집행완료"
"글라스히어로즈(주)","(주)글라스히어로즈","dc9d3675-6cf2-4672-9311-68aac62115b5","3","법인표기+괄호메모","구조혁신&사업전환","사업전환 승인 / 시작 전"
"막퍼줘 회찜 ( 준푸드 대표님 개인 사업자 )","막퍼줘 회찜  / *별세","830ee7ff-76d5-4709-a559-be565eb3e41e","3","괄호메모","소상공인시장진흥공단","자금집행완료 / 상담/진단완료"
"보성무역","보성무역 ( 법인 전환 예정 )","8c80213d-668d-4472-94a4-8cab6f588bd6","3","공백/기호","중소벤처기업진흥공단 / 신용보증기금","부결 / 온라인 신청 후 대기"
"솜씨협동조합_법인","(주)솜씨협동조합","6f528302-cc5e-46fb-913e-c848791af0c5","3","법인표기+밑줄뒤","소상공인시장진흥공단","자금집행완료"
"엠앤디코리아(잠수)","엠앤디코리아_잠수","353c67a6-a84c-4f4e-a6ca-e3883a58102c","3","괄호메모","소상공인시장진흥공단","시작 전 / 상담/진단완료"
"이산더큐브주식회사","(주)이산더큐브","53360c16-f60c-4244-bfaf-2affa1f6e512","3","법인표기","소상공인시장진흥공단","자금집행완료 / 상담/진단완료"
"타이어프로 -","타이어프로","ea177de1-9876-4e8a-b08a-b8c495a71cc0","3","구분자뒤","소상공인시장진흥공단","자금집행완료"
"허브바이오앤테크(주)","(주)허브바이오앤테크","e4811184-d945-4370-8c2a-4d059e47ef71","3","법인표기+괄호메모","소상공인시장진흥공단","상담/진단완료 / 자금집행완료"
"(주)글라스히어로즈_유선","(주)글라스히어로즈","dc9d3675-6cf2-4672-9311-68aac62115b5","2","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","부결 / 완료"
"(주)더스티치 (체납처리 확인 )","(주)더스티치 _법인","95b460ee-7f64-4be2-a704-b3ec06e19bd7","2","법인표기+괄호메모","소상공인시장진흥공단","완료 / 시작 전"
"(주)보원유통_유선","(주)보원유통","777a58e6-30cb-4c3f-a714-a2e1c6008d30","2","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","부결"
"(주)에이엔알 _유선","(주)에이엔알","72a72fc8-f435-4720-8060-d5aab8c07883","2","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","승인"
"(주)엘케이네스트코리아(유선안내)","(주)엘케이네스트코리아","9598c617-7ba6-4bcb-9c0d-152759221c84","2","법인표기+괄호메모","중소벤처기업진흥공단","부결"
"(주)엠디케이컴퍼니 (유선안내)","(주)엠디케이컴퍼니","97defd08-c1e8-4948-8094-c44c3a40b9e2","2","법인표기+괄호메모","중소벤처기업진흥공단","약정"
"(주)웰딧_인증서 없음","(주)웰딧","8e775590-37cc-4d3d-b843-8c3c23a2a454","2","법인표기+괄호메모+밑줄뒤","중소벤처기업진흥공단","시작 전 / 부결"
