버킷,원본표기(agency_cases.business_name),건수,제안조치,제안값(연결대상 또는 신규등록업체명),비고
1_삭제,(주)nan,1,삭제(soft-delete),,테스트/오입력
1_삭제,123,1,삭제(soft-delete),,테스트/오입력
1_삭제,234,1,삭제(soft-delete),,테스트/오입력
1_삭제,345,1,삭제(soft-delete),,테스트/오입력
1_삭제,cjh687768+,1,삭제(soft-delete),,테스트/오입력
2_기존연결,4/20 뚱이농산,1,기존업체 연결(UPDATE),뚱이농산,노이즈만 제거하면 매칭
2_기존연결,4/21 응암식당,1,기존업체 연결(UPDATE),응암식당,노이즈만 제거하면 매칭
2_기존연결,글라스히어로즈(인천점),1,기존업체 연결(UPDATE),(주)글라스히어로즈,이전 제외결정 항목
2_기존연결,비티버거앤타코(희성디자인),1,기존업체 연결(UPDATE),비티버거앤타코,이전 제외결정 항목
2_기존연결,비티버거앤타코(희성디자인)법인 전환으로 다음에,1,기존업체 연결(UPDATE),비티버거앤타코,이전 제외결정 항목
3_신규등록,(주)123에프앤비(스마트기기 자료 재요청중),1,companies 신규등록 후 연결,(주)123에프앤비,
3_신규등록,(주)더스티치 (체납처리 확인 ),2,companies 신규등록 후 연결,(주)더스티치,
3_신규등록,(주)백발명가(스마트기기 요건 확인안됨),1,companies 신규등록 후 연결,(주)백발명가,
3_신규등록,(주)베누스메드(최종제출 안내드림),1,companies 신규등록 후 연결,(주)베누스메드,
3_신규등록,(주)썸업팜  ( 주소지 변경 후 신청 ),1,companies 신규등록 후 연결,(주)썸업팜,
3_신규등록,(주)에이치제이에프1 _법인,2,companies 신규등록 후 연결,(주)에이치제이에프1,
3_신규등록,(주)우정에프엔비,1,companies 신규등록 후 연결,(주)우정에프엔비,
3_신규등록,(주)이루미기획(혁신성장 스마트기기),1,companies 신규등록 후 연결,(주)이루미기획,
3_신규등록,(주)잔나비에프앤비,2,companies 신규등록 후 연결,(주)잔나비에프앤비,
3_신규등록,(주)지제이건설,1,companies 신규등록 후 연결,(주)지제이건설,
3_신규등록,(주)태양로지스틱스(전진통운),1,companies 신규등록 후 연결,(주)태양로지스틱스,
3_신규등록,(주)포스트케어(혁신성장 수출실적),1,companies 신규등록 후 연결,(주)포스트케어,
3_신규등록,(주)포스트케이(사업장 이전 및 수출실적증명원 이후 진행),2,companies 신규등록 후 연결,(주)포스트케이,
3_신규등록,(주)푸드닥터,2,companies 신규등록 후 연결,(주)푸드닥터,
3_신규등록,(주)플러스제주,1,companies 신규등록 후 연결,(주)플러스제주,
3_신규등록,(주)해온푸드(재무자료 요청X),1,companies 신규등록 후 연결,(주)해온푸드,
3_신규등록,(주)CBSC,1,companies 신규등록 후 연결,(주)CBSC,
3_신규등록,골드스카이 ( 카드연체중 단기연체정보등록됌 ),1,companies 신규등록 후 연결,골드스카이,동일업체 표기 2종
3_신규등록,골드스카이_단기연체 등록 ( 회복 어렵다고함 ),1,companies 신규등록 후 연결,골드스카이,동일업체 표기 2종
3_신규등록,과천경희S한의원,2,companies 신규등록 후 연결,과천경희S한의원,
3_신규등록,구도로통닭 부채비율700% 초과,1,companies 신규등록 후 연결,구도로통닭 부채비율700% 초과,
3_신규등록,다경바이오_법인,3,companies 신규등록 후 연결,다경바이오,동일업체 표기 3종
