"원래이름(기관케이스)","케이스수","판정","유사후보(companies)","유사도%","기관목록","상태목록"
"보그헤어","8","유사후보 있음(확인필요)","보그헤어 선부점","67","소상공인시장진흥공단 / 신용보증재단","자금집행완료 / 기관신청대기/방문예정 / 상담/진단완료"
"프로페나인어클락","7","유사후보 있음(확인필요)","프로페나이어클락","71","중소벤처기업진흥공단 / 기술보증기금 / 신용보증기금 / 신용보증재단","승인 / 기관 방문 전 / 기관신청대기/방문예정 / 보류"
"(주)에이치제이에프1","6","유사후보 있음(확인필요)","(주)에이치제이에프1, 봉이밥","82","중소벤처기업진흥공단 / 소상공인시장진흥공단","부결 / 시작 전"
"(주)한기협_ 최관호 신청","6","신규/불명","","","신용보증기금 / 신용보증재단","기관신청완료/방문완료"
"딜리온픽","6","유사후보 있음(확인필요)","딜리온픽배달대행","60","신용보증재단 / 신용보증기금","상담/진단완료 / 기관신청대기/방문예정"
"(주)허브바이오","4","유사후보 있음(확인필요)","(주)허브바이오앤테크","73","중소벤처기업진흥공단","보류"
"성원상사","4","신규/불명","","","신용보증재단 / 소상공인시장진흥공단","기관신청대기/방문예정 / 상담/진단완료"
"(주)nan","3","신규/불명","","","중소벤처기업진흥공단 / 기술보증기금 / 신용보증기금","시작 전"
"(주)엘케스트","3","유사후보 있음(확인필요)","(주)엘케스트, 엘싸인","67","신용보증기금","자금집행완료"
"경희s한의원","3","유사후보 있음(확인필요)","과천경희S한의원 ( 진행전 피드백대기 )","83","신용보증재단","상담/진단완료"
"다경바이오_법인","3","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"비티버거앤타코(희성디자인)법인 전환으로 다음에","3","신규/불명","","","소상공인시장진흥공단","시작 전 / 상담/진단완료"
"신산축산","3","신규/불명","","","신용보증재단 / 소상공인시장진흥공단","부결 / 상담/진단완료"
"씨에이치-디","3","신규/불명","","","소상공인시장진흥공단","보류 / 시작 전"
"엘싸인","3","신규/불명","","","신용보증재단","상담/진단완료"
"이안서가중고등 ( 법인 사업자 )","3","유사후보 있음(확인필요)","이안서가중고등학원","86","중소벤처기업진흥공단","부결"
"주)나무","3","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"토탈아트","3","유사후보 있음(확인필요)","토탈아트 코리아","67","신용보증재단","자금집행완료"
"(주)에이치제이에프1 _법인","2","유사후보 있음(확인필요)","(주)에이치제이에프1, 봉이밥","82","소상공인시장진흥공단","자금집행완료"
"(주)에이치제이에프1(본인이 직접신청)","2","유사후보 있음(확인필요)","(주)에이치제이에프1, 봉이밥","82","중소벤처기업진흥공단","부결"
"(주)준푸드","2","신규/불명","","","중소벤처기업진흥공단","보류"
"(주)포스트케이(사업장 이전 및 수출실적증명원 이후 진행)","2","유사후보 있음(확인필요)","(주)포스트케어","75","소상공인시장진흥공단","상담/진단완료"
"(주)푸드닥터","2","유사후보 있음(확인필요)","(주)푸드닥터에프앤비","60","소상공인시장진흥공단 / 구조혁신&사업전환","승인 / 시작 전"
"cu진부라헬점","2","신규/불명","","","신용보증재단 / 소상공인시장진흥공단","보류 / 시작 전"
"F2MG글로벌뷰티아카데미","2","유사후보 있음(확인필요)","(주)F2MG글로벌아카데미","82","중소벤처기업진흥공단","보류"
"GS25뉴소사벌타운점","2","신규/불명","","","소상공인시장진흥공단","상담/진단완료 / 시작 전"
"다경바이오 /  교육 이수 후 접수 완료","2","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"도원반점수원영통점","2","신규/불명","","","소상공인시장진흥공단 / 신용보증재단","시작 전 / 자금집행완료"
"리썸제이","2","신규/불명","","","중소벤처기업진흥공단","중단"
"세븐일레븐","2","유사후보 있음(확인필요)","세븐일레븐, 열정건어물","62","소상공인시장진흥공단","부결 / 시작 전"
"세인트복싱_얼굴인식시스템","2","후보 여러개(모호)","세인트복싱_수지점 | 세인트복싱","100","소상공인시장진흥공단","시작 전 / 부결"
"씨유 수서나선점","2","유사후보 있음(확인필요)","CU수서나선점","67","신용보증재단","자금집행완료 / 부결"
"양돼산맥(현금서비스 과다로 거절)","2","신규/불명","","","소상공인시장진흥공단","자금집행완료"
"우디베이크샵","2","신규/불명","","","소상공인시장진흥공단","상담/진단완료"
"제천한약농업회사법인(주)","2","신규/불명","","","중소벤처기업진흥공단","시작 전 / 부결"
"제천한약영농조합","2","유사후보 있음(확인필요)","(주)제천한약영농조합법인","88","소상공인시장진흥공단 / 신용보증재단","시작 전 / 온라인 신청 후 대기"
"준푸드","2","신규/불명","","","중소벤처기업진흥공단","부결"
"지환2태양광발전소(올타임커피)","2","신규/불명","","","소상공인시장진흥공단","부결"
"청하((주)청화정보기술)","2","신규/불명","","","소상공인시장진흥공단","시작 전 / 진행불가"
"칼라스토리","2","신규/불명","","","소상공인시장진흥공단","보류 / 시작 전"
"123","1","유사후보 있음(확인필요)","(주)123F&B","67","소상공인시장진흥공단","시작 전"
"234","1","신규/불명","","","소상공인시장진흥공단","시작 전"
