제안등록명,건수,원본표기수,원본표기들,기관,담당자
(주)에이치제이에프1,8,2,(주)에이치제이에프1 | (주)에이치제이에프1(본인이 직접신청),소상공인시장진흥공단·중소벤처기업진흥공단,유진·지혜
보그헤어,8,1,보그헤어,소상공인시장진흥공단·신용보증재단,유진·관호
성원상사,7,4,"성원상사 ( 3월3일 신청, 3월19일 상환일/  4월 신청가능 ) | 성원상사 | 성원상사_환불→진행의사 확인중 | 성원상사_환불",소상공인시장진흥공단·신용보증기금·신용보증재단,관호·동일
(주)한기협_ 최관호 신청,6,1,(주)한기협_ 최관호 신청,신용보증재단·신용보증기금,
4/21지원중기,6,6,4/21 cu진부라헬점 | 4/20 신강 ( 진행전 유선확인→2.20 통화됌 잘받아주신다고함) | 4/21 진수네간장게장( 체납으로 부결되면 ) | 4/21 하은운송 | 4/21지원중기 | 4/21 프라이빗,소상공인시장진흥공단,관호
다경바이오_법인,6,3,다경바이오_법인 | 다경바이오 /  교육 이수 후 접수 완료 | 다경바이오 / 교육 이수 후 접수 완료,소상공인시장진흥공단,유진
준푸드,5,3,준푸드 | (주)준푸드 | (주)준푸드__인증 부분만 유선,중소벤처기업진흥공단,유진
(주)허브바이오,4,1,(주)허브바이오,중소벤처기업진흥공단,
신산축산,4,2,신산축산 | 신산축산 ( 개인사업자 ),소상공인시장진흥공단·신용보증재단,유진
지환2태양광발전소,4,3,지환2태양광발전소(올타임커피) | 지환2태양광발전소(올타임커피)(3/5국세지방세체납없음) | 지환2태양광발전소,소상공인시장진흥공단,관호
(주)엘케스트,3,1,(주)엘케스트,신용보증기금,유진
경희s한의원,3,1,경희s한의원,신용보증재단,관호
구도로통닭 부채비율700% 초과,3,3,구도로통닭 부채비율700% 초과 | 구도로통닭 부채비율700% 초과(3/5국세/지방세 체납없음 | 구도로통닭 부채비율700% 초과_비협조,소상공인시장진흥공단,관호
도원반점수원영통점,3,2,도원반점수원영통점 | 도원반점수원영통점_2025년 가결산 대기중,소상공인시장진흥공단·신용보증재단,관호
씨에이치-디,3,1,씨에이치-디,소상공인시장진흥공단,관호
양돼산맥,3,2,양돼산맥(현금서비스 과다로 거절) | 양돼산맥,소상공인시장진흥공단,관호
엘싸인,3,1,엘싸인,신용보증재단,
오투에코,3,3,오투에코 | 오투에코(임영군) | 오투에코(임영군) 공고 나오면 요청예정,소상공인시장진흥공단,관호
주)나무,3,1,주)나무,소상공인시장진흥공단,
토탈아트,3,1,토탈아트,신용보증재단,
cu수서나선점,3,1,cu수서나선점,신용보증재단,
GS25뉴소사벌타운점,3,2,GS25뉴소사벌타운점_서동일 | GS25뉴소사벌타운점,소상공인시장진흥공단,관호
(주)123에프앤비,2,2,(주)123에프앤비(스마트기기 자료 재요청중) | (주)123에프앤비,소상공인시장진흥공단·신용보증재단,유진·정원
(주)포스트케이(사업장 이전 및 수출실적증명원 이후 진행),2,1,(주)포스트케이(사업장 이전 및 수출실적증명원 이후 진행),소상공인시장진흥공단,유진
(주)푸드닥터,2,1,(주)푸드닥터,소상공인시장진흥공단·구조혁신&사업전환,유진
04/21 (주)이루미기획_강의이수,2,2,04/21 (주)이루미기획_강의이수 | 04/21 (주)엠씨리컴퍼니_강의이수,소상공인시장진흥공단,유진
가마치통닭지행점/ 폐업이력 없음 저신용 25.4 3천,2,2,가마치통닭지행점(2.27국세체납없음) / 폐업이력 없음 저신용 25.4 3천 | 가마치통닭지행점/ 폐업이력 없음 저신용 25.4 3천,소상공인시장진흥공단,관호
골드스카이 ( 카드연체중 단기연체정보등록됌 ),2,2,골드스카이 ( 카드연체중 단기연체정보등록됌 ) | 골드스카이_단기연체 등록 ( 회복 어렵다고함 ),소상공인시장진흥공단,관호
리썸제이,2,1,리썸제이,중소벤처기업진흥공단,
명인설렁탕송도센트럴지점,2,2,명인설렁탕송도센트럴지점/환불 예정 | 명인설렁탕송도센트럴지점,소상공인시장진흥공단,관호
세븐일레븐,2,1,세븐일레븐,소상공인시장진흥공단,
신산축산유통,2,2,신산축산유통 | 신산축산유통 ,구조혁신&사업전환,유진
오조떡,2,1,오조떡,소상공인시장진흥공단,관호
옥림,2,2,옥림( 26.1직전 월 부터3일이내 단기연체 존재 ) | 옥림,소상공인시장진흥공단,관호
요가람,2,2,요가람 | 요가람(인증서만료8월18일)(잠수),소상공인시장진흥공단,관호
우디베이크샵,2,1,우디베이크샵,소상공인시장진흥공단,관호
제천한약농업회사법인(주),2,1,제천한약농업회사법인(주),중소벤처기업진흥공단,동일
청하((주)청화정보기술),2,1,청하((주)청화정보기술),소상공인시장진흥공단,유진·관호
칼라스토리,2,1,칼라스토리,소상공인시장진흥공단,관호
타와이3133,2,2,타와이3133 (엘에스에너지) | 타와이3133,소상공인시장진흥공단,관호
cu진부라헬점,2,1,cu진부라헬점,신용보증재단·소상공인시장진흥공단,현애·관호
F2MG글로벌뷰티아카데미,2,1,F2MG글로벌뷰티아카데미,중소벤처기업진흥공단,
(주)길온물류(동안주유소)_내용동일,1,1,(주)길온물류(동안주유소)_내용동일,소상공인시장진흥공단,관호
(주)솔스킨 ( 보성무역 대표님 법인 사업장,1,1,(주)솔스킨 ( 보성무역 대표님 법인 사업장,소상공인시장진흥공단,유진
(주)와이에스푸드,1,1,(주)와이에스푸드,소상공인시장진흥공단,유진
(주)우정,1,1,(주)우정,신용보증기금,동일
(주)티케이이앤엠,1,1,(주)티케이이앤엠,신용보증재단,
(주)플러스제주,1,1,(주)플러스제주,구조혁신&사업전환,
동안주유소,1,1,동안주유소,소상공인시장진흥공단,관호
로컬 ( 폐업관련 자료 홈택스 신청1.14 11시04분 ),1,1,로컬 ( 폐업관련 자료 홈택스 신청1.14 11시04분 ),소상공인시장진흥공단,관호
미드나잇,1,1,미드나잇,기타,
부에노63,1,1,부에노63,소상공인시장진흥공단,관호
세인트복싱매출신장 보류 스마트기기 2/2 재도전,1,1,세인트복싱매출신장 보류 스마트기기 2/2 재도전,소상공인시장진흥공단,관호
스투디오오도씨_토스 프론트( 미니 키오스크로 활용가능 ),1,1,스투디오오도씨_토스 프론트( 미니 키오스크로 활용가능 ),소상공인시장진흥공단,관호
앨엔피클린,1,1,앨엔피클린,소상공인시장진흥공단,관호
"어반트랜드(온라인예약관리, 매장멤버십관리시스템)",1,1,"어반트랜드(온라인예약관리, 매장멤버십관리시스템)",소상공인시장진흥공단,관호
