신규등록업체명(정제),원본표기(agency_cases.business_name),건수,비고
(주)123에프앤비,(주)123에프앤비(스마트기기 자료 재요청중),1,
(주)지제이건설,(주)지제이건설,1,
(주)포스트케이,(주)포스트케이(사업장 이전 및 수출실적증명원 이후 진행),2,유사업체 있으나 별개/확인 필요 (유사: (주)포스트케어)
(주)푸드닥터,(주)푸드닥터,2,유사업체 있으나 별개/확인 필요 (유사: (주)푸드닥터에프앤비)
(주)플러스제주,(주)플러스제주,1,유사업체 있으나 별개/확인 필요 (유사: (주)플러스)
골드스카이,골드스카이 ( 카드연체중 단기연체정보등록됌 ),1,
골드스카이,골드스카이_단기연체 등록 ( 회복 어렵다고함 ),1,
과천경희S한의원,과천경희S한의원,2,
구도로통닭 부채비율700% 초과,구도로통닭 부채비율700% 초과,1,
글라스히어로즈,글라스히어로즈(인천점),1,유사업체 있으나 별개/확인 필요 (유사: (주)글라스히어로즈)
다경바이오,다경바이오 /  교육 이수 후 접수 완료,2,
다경바이오,다경바이오 / 교육 이수 후 접수 완료,1,
다경바이오,다경바이오_법인,3,
동진건설,동진건설,1,유사업체 있으나 별개/확인 필요 (유사: (주)원진건설)
로컬,로컬 ( 폐업관련 자료 홈택스 신청1.14 11시04분 ),1,
막퍼줘 회찜,막퍼줘 회찜,1,유사업체 있으나 별개/확인 필요 (유사: 막퍼줘 회찜  / *별세)
막퍼줘 회찜,막퍼줘 회찜 ( 준푸드 대표님 개인 사업자 ),3,유사업체 있으나 별개/확인 필요 (유사: 막퍼줘 회찜  / *별세)
명인설렁탕송도센트럴지점,명인설렁탕송도센트럴지점/환불 예정,1,
미니 부띠끄,미니 부띠끄,1,
미니 부띠끄,미니 부띠끄 ( 12월31일 기준 수출실적없음,1,
미니 부띠끄,"미니 부띠끄 ( 우선 필증으로, 증명원은 2월 15일 이후 )",1,
미드나잇,미드나잇,1,유사업체 있으나 별개/확인 필요 (유사: 미드나잇플레져)
보그헤어,보그헤어,2,유사업체 있으나 별개/확인 필요 (유사: 보그헤어 선부점)
보성무역,보성무역(민용기컨설턴트),1,유사업체 있으나 별개/확인 필요 (유사: 우성무역)
부에노63,부에노63,1,
비티버거앤타코,비티버거앤타코(희성디자인),1,유사업체 있으나 별개/확인 필요 (유사: 비티버거앤타코)
비티버거앤타코,비티버거앤타코(희성디자인)법인 전환으로 다음에,1,유사업체 있으나 별개/확인 필요 (유사: 비티버거앤타코)
성원상사,성원상사,1,유사업체 있으나 별개/확인 필요 (유사: 운혜상사)
성원상사,"성원상사 ( 3월3일 신청, 3월19일 상환일/  4월 신청가능 )",1,유사업체 있으나 별개/확인 필요 (유사: 운혜상사)
세븐일레븐,세븐일레븐,2,
세인트복싱매출신장 보류 스마트기기 2,세인트복싱매출신장 보류 스마트기기 2/2 재도전,1,
신산축산,신산축산,2,유사업체 있으나 별개/확인 필요 (유사: 미진축산)
신산축산,신산축산 ( 개인사업자 ),1,유사업체 있으나 별개/확인 필요 (유사: 미진축산)
신산축산유통,신산축산유통,1,
신산축산유통,신산축산유통 ,1,
씨에이치-디,씨에이치-디,1,
안다미로,안다미로,1,유사업체 있으나 별개/확인 필요 (유사: 다미설)
양돼산맥,양돼산맥,1,
양돼산맥,양돼산맥(현금서비스 과다로 거절),2,
어반트랜드,"어반트랜드(온라인예약관리, 매장멤버십관리시스템)",1,유사업체 있으나 별개/확인 필요 (유사: 어반트랜드대화점)
엘에스에너지,엘에스에너지 ( 사업자명 변경되어 사업자등록증 회신받으면 변경 필요 ),1,
오투에코,오투에코,1,
오투에코,오투에코(임영군),1,
오투에코,오투에코(임영군) 공고 나오면 요청예정,1,
옥림,옥림,1,
옥림,옥림( 26.1직전 월 부터3일이내 단기연체 존재 ),1,
요가람,요가람,1,유사업체 있으나 별개/확인 필요 (유사: 요가람 여의도점)
요가람,요가람(인증서만료8월18일)(잠수),1,유사업체 있으나 별개/확인 필요 (유사: 요가람 여의도점)
요가람 잠수,요가람 잠수,1,
우디베이크샵,우디베이크샵,2,
제천한약농업회사법인,제천한약농업회사법인(주),1,
주)나무,주)나무,3,
지원중기 4월초 다시확인,지원중기 4월초 다시확인 (연체 8백),1,
지환2태양광발전소,지환2태양광발전소(올타임커피),1,
지환2태양광발전소,지환2태양광발전소(올타임커피)(3/5국세지방세체납없음),1,
청하,청하((주)청화정보기술),1,
칼라스토리,칼라스토리,1,유사업체 있으나 별개/확인 필요 (유사: 세정스토리)
쿡솜씨협동조합,쿡솜씨협동조합 / 교육 이수 후 접수 완료,1,
타와이3133,타와이3133,1,
타와이3133,타와이3133 (엘에스에너지),1,
cu진부라헬점,4/21 cu진부라헬점,1,
cu진부라헬점,cu진부라헬점,1,
GS25뉴소사벌타운점,GS25뉴소사벌타운점,2,
GS25뉴소사벌타운점,GS25뉴소사벌타운점_서동일,1,
