제안등록명,건수,기존회사명,기존회사id,원본표기들,기관,담당자
막퍼줘 회찜,7,막퍼줘 회찜  / *별세,830ee7ff-76d5-4709-a559-be565eb3e41e,막퍼줘 회찜 ( 준푸드 대표님 개인 사업자 ) | 막퍼줘 회찜,소상공인시장진흥공단,관호
스마일베이글 ( 법인설립후 ),5,스마일 베이글,8f0a354c-f2e3-4281-813e-8ff8feffce29,스마일베이글 ( 법인설립후 ) | 스마일 베이글 ( 법인 사업자 ) | 스마일 베이글 ( 법인 사업자 ) 5월,중소벤처기업진흥공단,
보성무역,4,보성무역 ( 법인 전환 예정 ),8c80213d-668d-4472-94a4-8cab6f588bd6,보성무역(민용기컨설턴트) | 보성무역,구조혁신&사업전환·신용보증기금·중소벤처기업진흥공단,유진·인선·관호
비티버거앤타코(희성디자인),4,비티버거앤타코,aa702cfc-24ce-4473-931c-6c8398df0731,비티버거앤타코(희성디자인) | 비티버거앤타코(희성디자인)법인 전환으로 다음에,소상공인시장진흥공단,관호
(주)경문도어시스템(말일),3,(주)경문도어시스템,ab00f3bd-2bec-4130-a730-0c85ad101f16,(주)경문도어시스템(말일),신용보증기금,정원
미니 부띠끄,3,"미니 부띠끄 (우선 필증, 증명원은 2월 15일이후)",9b9d0c00-61bb-49b9-b668-1fd86ffd82e3,"미니 부띠끄 | 미니 부띠끄 ( 12월31일 기준 수출실적없음 | 미니 부띠끄 ( 우선 필증으로, 증명원은 2월 15일 이후 )",소상공인시장진흥공단,관호
(주)보원유통_유선,2,(주)보원유통,777a58e6-30cb-4c3f-a714-a2e1c6008d30,(주)보원유통_유선,중소벤처기업진흥공단,유진·관호
(주)에이엔알 _유선,2,(주)에이엔알,72a72fc8-f435-4720-8060-d5aab8c07883,(주)에이엔알 _유선,중소벤처기업진흥공단,
(주)엘케이네스트코리아(유선안내),2,(주)엘케이네스트코리아,9598c617-7ba6-4bcb-9c0d-152759221c84,(주)엘케이네스트코리아(유선안내),중소벤처기업진흥공단,유진
(주)엠디케이컴퍼니 (유선안내),2,(주)엠디케이컴퍼니,97defd08-c1e8-4948-8094-c44c3a40b9e2,(주)엠디케이컴퍼니 (유선안내),중소벤처기업진흥공단,유진
(주)유유코퍼레이션 (최종제출 안내드림),2,(주)유유코퍼레이션,46d83261-260a-4d35-acf1-44ee348d939f,(주)유유코퍼레이션(스마트기기 자료 재요청중) | (주)유유코퍼레이션 (최종제출 안내드림),소상공인시장진흥공단·중소벤처기업진흥공단,유진·지혜
(주)한산테크(본인이 직접신청),2,(주)한산테크,e28b5594-1f4b-47ae-8dbc-682358413a45,(주)한산테크(본인이 직접신청),중소벤처기업진흥공단,
(주)휘율이에스티(체납건 처리해야함),2,(주)휘율이에스티,f2676aa9-52fd-411f-9430-2a36a0b7acaf,(주)휘율이에스티(체납건 처리해야함),중소벤처기업진흥공단,
과천경희S한의원,2,과천경희S한의원 ( 진행전 피드백대기 ),25949223-de08-46fc-af10-1e93b8379cd7,과천경희S한의원,소상공인시장진흥공단,관호
글라스히어로즈(인천점),2,(주)글라스히어로즈,dc9d3675-6cf2-4672-9311-68aac62115b5,글라스히어로즈(인천점),소상공인시장진흥공단,유진
까사피에스타 _테이블오더 ( 떨어지면 저신용 ),2,까사피에스타,d44263f5-0e21-413f-bb4c-1171c560bb5c,"까사피에스타 / 폐업이력 없음, 일시적경영애로 불가 | 까사피에스타 _테이블오더 ( 떨어지면 저신용 )",소상공인시장진흥공단,관호
대령숙수_잠수 ( 지혜비서님이 추가 진행 안내드림 ),2,대령숙수_잠수,77d0f04c-5854-4ddb-a1b1-56bd75eefd97,대령숙수(잠수 ( 지혜비서님이 추가 진행 안내드림 )) | 대령숙수_잠수 ( 지혜비서님이 추가 진행 안내드림 ),소상공인시장진흥공단,관호
맥스틸우드(3/6지방세체납없음),2,맥스틸우드,b4487d54-cd44-4c85-b98f-b2dfa83005fa,맥스틸우드(3/6지방세체납없음) | 맥스틸우드(포스기 계약후 계약서 징구 / 비즈모아),소상공인시장진흥공단,관호
솜씨협동조합_인증 부분만 유선,2,(주)솜씨협동조합,6f528302-cc5e-46fb-913e-c848791af0c5,"솜씨협동조합 ( 대기, 대표자와 근로자 수 소통중 ) | 솜씨협동조합_인증 부분만 유선",소상공인시장진흥공단·중소벤처기업진흥공단,유진·정원
어나더유스_잠수,2,어나더유스,5fee8cc4-68a6-45d5-a75b-c45b1ef187f0,"어나더유스(2/27지방세/국세 체납없음
) | 어나더유스_잠수",소상공인시장진흥공단,관호
유일목형(시설자금 ),2,유일목형,f75b4658-e77e-438e-aa67-361534014a9d,유일목형(시설자금 ),중소벤처기업진흥공단,
인네이처(주)_유선안내(내년 3월부터 가능),2,인네이처(주),5cd68b6e-d9db-4e6c-9f6d-ad1b5dc4c2c8,인네이처(주)_유선안내(내년 3월부터 가능),중소벤처기업진흥공단,미현·유진
츄맥 ( 잠수 ),2,츄맥,d98f1f34-214c-485a-a6be-3a8d0c5d4bdd,츄맥 ( 오픈초기 정신없어서 잠수 ) | 츄맥 ( 잠수 ),소상공인시장진흥공단,관호
토탈아트코리아 ( 고용링크 있음 ),2,토탈아트 코리아,a0086c5d-3e78-426b-90fe-d46c633c979b,토탈아트코리아 ( 고용링크 있음 ),중소벤처기업진흥공단,
(유)누리관광_인증서 없음,1,(유)누리관광,544b3df5-9d98-4d5c-bfb9-fcade563a1fd,(유)누리관광_인증서 없음,중소벤처기업진흥공단,유진
(주)123푸드 (신청 보류),1,(주)123푸드,2524b257-b8fe-400f-8a27-3d5c30a6f510,(주)123푸드 (신청 보류),중소벤처기업진흥공단,미현
(주)리딩트러스트_1억,1,(주)리딩트러스트,7267f0ab-66cf-43b2-9a39-b2fd1dd5e9a8,(주)리딩트러스트_1억,중소벤처기업진흥공단,유진
(주)애슐런컴퍼니(최종제출 안내드림),1,(주)애슐런컴퍼니,f6aa3a0b-6bf8-4743-99c0-47df4079d5cc,(주)애슐런컴퍼니(최종제출 안내드림),중소벤처기업진흥공단,현애
(주)에스와이커뮤니티_공고링크 받아야함,1,(주)에스와이커뮤니티,33c2dce3-9ed4-465d-a0c8-7284a18ed80f,(주)에스와이커뮤니티_공고링크 받아야함,중소벤처기업진흥공단,현애
(주)엘앤엘디_계정 아직 안주심,1,(주)엘앤엘디,00cb54d5-8fc3-425a-ab5f-f509bf2fc92a,(주)엘앤엘디_계정 아직 안주심,중소벤처기업진흥공단,유진
(주)예가비즈(최종제출 안내드림),1,(주)예가비즈,e367e66a-ce7f-4330-8ce2-70170ceb1bd8,(주)예가비즈(최종제출 안내드림),중소벤처기업진흥공단,유진
(주)지제이건설,1,(주)지제이건설_목요일 최종제출 예정,76f8b6c5-86e6-4737-a03f-63afdcb029f7,(주)지제이건설,신용보증기금,유진
(주)피코스산업_계정 아직 안주심,1,(주)피코스산업,e78d9a91-45cd-48a3-aa92-53caa10578ae,(주)피코스산업_계정 아직 안주심,중소벤처기업진흥공단,동일
감상커뮤니케이션 (부동산 가압류 5월 진행할것 5.6),1,감상커뮤니케이션,f686e94b-0c10-4bf2-9952-f1d43e06cca4,감상커뮤니케이션 (부동산 가압류 5월 진행할것 5.6),소상공인시장진흥공단,관호
그라티아(카누 조달청 조달 및 특허청 디자인등록),1,그라티아,86a77f9b-6444-425a-a6cc-9a9f9faeb04c,그라티아(카누 조달청 조달 및 특허청 디자인등록),중소벤처기업진흥공단,동일
"기동정밀 / 폐업이력 없고, 졸업후보, 사회적경제기업 미해당",1,기동정밀,d4f6ff6d-f814-4ad6-9274-ccf84ff01481,"기동정밀 / 폐업이력 없고, 졸업후보, 사회적경제기업 미해당",소상공인시장진흥공단,관호
넘버원택배(혁신성장),1,넘버원택배,77706395-6c5c-4afc-b4ad-337598fd9928,넘버원택배(혁신성장),소상공인시장진흥공단,관호
달성종합중기,1,달성종합중기(지원중기),031f01e3-7f47-432b-88cb-8f4f425b1de1,달성종합중기,신용보증재단,
"대박관(국세없음,지방세없음)",1,대박관,66b320a0-6d4c-450d-bd8a-e6696492d44a,"대박관(국세없음,지방세없음)",소상공인시장진흥공단,관호
동진건설,1,동진건설_방치,001687b2-94e9-42d7-a77e-3fc6ee99b57b,동진건설,소상공인시장진흥공단,관호
리즈코스( 5월말 뷰티론 신청 ),1,리즈코스,9b6b5a33-c02e-47b9-b291-ed66a3a8a66c,리즈코스( 5월말 뷰티론 신청 ),중소벤처기업진흥공단,
미진축산(혁신성장 스마트기기)(월세2천1백 체납),1,미진축산,cee54ae5-807f-4d2f-9fc2-d43eacf807ee,미진축산(혁신성장 스마트기기)(월세2천1백 체납),소상공인시장진흥공단,관호
신안,1,신안(EC)운수,3e9127d7-e2af-40bc-b353-b501727ad03c,신안,신용보증재단,관호
신재연,1,신재연(우디베이크 법인 사업자),1825f711-1666-4177-9e71-7ace3e5b4ea0,신재연,중소벤처기업진흥공단,
아이디어스푼 /,1,아이디어스푼,1585a5ba-c827-478d-8e3c-b4025f5881df,아이디어스푼 /,소상공인시장진흥공단,관호
안다미로,1,안다미로(교육수료는 14일에 처리되어 상세페이지 반영필요 ),6aa38c19-1ddb-4332-aec4-b1633f1581cf,안다미로,소상공인시장진흥공단,
